SEASON_2,total_2pt_made,total_2pt_attempted,total_3pt_made,total_3pt_attempted,3pt2pt_attempts_ratio
2003-04,70933,154310,12322,35493,0.23001101678439506
2004-05,74658,158878,13777,38748,0.24388524528254385
2005-06,74080,155001,14086,39313,0.2536306217379243
2006-07,74934,154401,14926,41671,0.26988814839282127
2007-08,75545,155957,16124,44544,0.28561718935347563
2008-09,74958,154471,16344,44559,0.2884619119446369
2009-10,76908,156367,15812,44599,0.2852200272436
2010-11,75738,155477,15875,44284,0.2848266946236421
2011-12,59525,124830,12682,36375,0.2913962989665946
2012-13,73679,152542,17596,49037,0.32146556358248873
2013-14,73725,151198,19041,52928,0.35005754044365667
2014-15,72987,150433,19292,55117,0.36638902368496273
2015-16,73112,148808,20905,59085,0.39705526584592227
2016-17,72313,143692,23677,66237,0.46096511983965704
2017-18,71628,140368,25807,71339,0.5082283711387211
2018-19,73107,140716,27955,78742,0.559581000028426
2019-20,60688,115864,25862,72252,0.6235931782089346
2020-21,61593,116161,27427,74822,0.6441232427406789
2021-22,69332,130187,30598,86535,0.6646977040718351
2022-23,72901,133056,30359,84164,0.632545695045695
